ORIGIN_SZ_C,DEST_SZ_C,O_TOTAL_POP,D_TOTAL_POP,O_MONTHLY_INCOME,D_MONTHLY_INCOME,TRIPS,FlowNoIntra,offset,dist
AMSZ04,AMSZ01,18170,4090,101.2,101.2,129029,129029,1,840.4520976796664
AMSZ04,AMSZ03,18170,23360,101.2,101.2,9677,9677,1,808.0788560099825
AMSZ04,AMSZ04,18170,18170,101.2,101.2,67253,0,1e-10,0
AMSZ04,AMSZ05,18170,14870,101.2,101.2,71790,71790,1,1158.487436613182
AMSZ04,AMSZ06,18170,19710,101.2,101.2,58348,58348,1,1333.1952981384138
AMSZ04,AMSZ07,18170,5660,101.2,101.2,13929,13929,1,2225.832713956061
AMSZ04,AMSZ08,18170,6860,101.2,101.2,11931,11931,1,3262.9357621721124
AMSZ04,AMSZ09,18170,20890,101.2,101.2,45406,45406,1,1994.3940297237787
AMSZ04,AMSZ12,18170,3590,101.2,101.2,11132,11132,1,2076.7305889756544
AMSZ04,BDSZ05,18170,28100,101.2,150.3,146,146,1,9767.418366575635
AMSZ04,BDSZ06,18170,40730,101.2,150.3,45,45,1,11743.634124936174
AMSZ04,BDSZ08,18170,6040,101.2,150.3,8,8,1,12519.643923917476
AMSZ04,BKSZ07,18170,23140,101.2,75.6,1469,1469,1,11080.427999564412
AMSZ04,BKSZ09,18170,12490,101.2,75.6,422,422,1,10407.838697260533
AMSZ04,BMSZ01,18170,3130,101.2,82.2,216,216,1,11370.967854935401
AMSZ04,BMSZ02,18170,870,101.2,82.2,534,534,1,9797.084800842853
AMSZ04,BMSZ03,18170,9140,101.2,82.2,357,357,1,9273.356456592082
AMSZ04,BMSZ04,18170,12770,101.2,82.2,329,329,1,9309.559261545328
AMSZ04,BMSZ06,18170,2230,101.2,82.2,140,140,1,8668.133702854964
AMSZ04,BMSZ08,18170,11640,101.2,82.2,456,456,1,9139.260797078774
AMSZ04,BMSZ10,18170,10690,101.2,82.2,311,311,1,9207.441907859982
AMSZ04,BMSZ16,18170,6860,101.2,82.2,192,192,1,10087.63912404576
AMSZ04,BSSZ01,18170,24960,101.2,49.5,54578,54578,1,1992.2584867526675
AMSZ04,BSSZ02,18170,25060,101.2,49.5,56603,56603,1,1279.499964887756
AMSZ04,BSSZ03,18170,24240,101.2,49.5,90283,90283,1,1790.142221983425
AMSZ04,BTSZ01,18170,18260,101.2,36.8,1439,1439,1,9082.307859967577
AMSZ04,BTSZ03,18170,8540,101.2,36.8,6021,6021,1,8354.51170207287
AMSZ04,BTSZ04,18170,8910,101.2,36.8,334,334,1,9235.31615008167
AMSZ04,BTSZ06,18170,5040,101.2,36.8,7545,7545,1,6829.034965672336
AMSZ04,BTSZ07,18170,5220,101.2,36.8,246,246,1,7846.953750506946
AMSZ04,CLSZ06,18170,12490,101.2,45.9,1722,1722,1,11181.348360140284
AMSZ04,CLSZ07,18170,13590,101.2,45.9,273,273,1,11202.867398414459
AMSZ04,DTSZ01,18170,730,101.2,21.5,5801,5801,1,7369.280435230011
AMSZ04,DTSZ08,18170,190,101.2,21.5,290,290,1,9588.2707799491909
AMSZ04,DTSZ11,18170,850,101.2,21.5,424,424,1,9926.18836885201
AMSZ04,GLSZ04,18170,35280,101.2,61.4,731,731,1,6851.247928886822
AMSZ04,GLSZ05,18170,25690,101.2,61.4,371,371,1,7711.653517343981
AMSZ04,HGSZ01,18170,4220,101.2,120.8,830,830,1,4807.962357278063
AMSZ04,HGSZ03,18170,20870,101.2,120.8,1459,1459,1,5575.067052269847
AMSZ04,HGSZ05,18170,42440,101.2,120.8,6555,6555,1,4055.961547594171
AMSZ04,HGSZ06,18170,21180,101.2,120.8,6353,6353,1,3594.3302662662136
AMSZ04,KLSZ01,18170,31940,101.2,55.4,2341,2341,1,4998.631278635075
AMSZ04,KLSZ02,18170,9870,101.2,55.4,2993,2993,1,5407.372209417274
AMSZ04,KLSZ03,18170,10140,101.2,55.4,225,225,1,6178.75161454835
AMSZ04,KLSZ06,18170,8420,101.2,55.4,3566,3566,1,6145.874468555298
AMSZ04,KLSZ07,18170,8970,101.2,55.4,2041,2041,1,5714.6501557536285
AMSZ04,KLSZ09,18170,7530,101.2,55.4,1220,1220,1,7344.164018636931
AMSZ04,MDSZ03,18170,1770,101.2,21.5,958,958,1,7251.545440768961
AMSZ04,MPSZ03,18170,22370,101.2,21.5,54,54,1,9543.80216613808
AMSZ04,NTSZ02,18170,890,101.2,21.5,41,41,1,5937.64428680054
AMSZ04,NVSZ01,18170,27810,101.2,23.8,9205,9205,1,4414.887619820328
AMSZ04,NVSZ02,18170,7120,101.2,23.8,5831,5831,1,5312.945573919008
AMSZ04,NVSZ03,18170,2210,101.2,23.8,443,443,1,4941.0485461207
AMSZ04,NVSZ04,18170,3160,101.2,23.8,2898,2898,1,5361.532131878549
AMSZ04,NVSZ05,18170,610,101.2,23.8,604,604,1,4107.585239251469
AMSZ04,ORSZ02,18170,190,101.2,21.5,471,471,1,6864.49117828292
AMSZ04,OTSZ03,18170,8660,101.2,11.7,4169,4169,1,9456.459785679786
AMSZ04,OTSZ04,18170,1220,101.2,11.7,149,149,1,8954.796006473107
AMSZ04,PGSZ02,18170,16380,101.2,60.4,86,86,1,7635.946758469595
